timestamp,reportingGroup,locationName,value,unit
2019-05-09T00:00:00,Electricity,1000 Hakaniemen kauppahalli,58.849999999999994,kWh
2019-05-10T00:00:00,Electricity,1000 Hakaniemen kauppahalli,57.49,kWh
2019-05-11T00:00:00,Electricity,1000 Hakaniemen kauppahalli,71.38,kWh
2019-05-12T00:00:00,Electricity,1000 Hakaniemen kauppahalli,15.069999999999997,kWh
2019-05-13T00:00:00,Electricity,1000 Hakaniemen kauppahalli,58.12999999999998,kWh
2019-05-14T00:00:00,Electricity,1000 Hakaniemen kauppahalli,46.18999999999999,kWh
2019-05-15T00:00:00,Electricity,1000 Hakaniemen kauppahalli,45.91999999999999,kWh
2019-05-16T00:00:00,Electricity,1000 Hakaniemen kauppahalli,44.94999999999999,kWh
2019-05-17T00:00:00,Electricity,1000 Hakaniemen kauppahalli,49.04,kWh
2019-05-18T00:00:00,Electricity,1000 Hakaniemen kauppahalli,56.98,kWh
2019-05-19T00:00:00,Electricity,1000 Hakaniemen kauppahalli,18.73000000000001,kWh
2019-05-20T00:00:00,Electricity,1000 Hakaniemen kauppahalli,41.88999999999999,kWh
2019-05-21T00:00:00,Electricity,1000 Hakaniemen kauppahalli,44.68999999999999,kWh
2019-05-22T00:00:00,Electricity,1000 Hakaniemen kauppahalli,46.01999999999999,kWh
2019-05-23T00:00:00,Electricity,1000 Hakaniemen kauppahalli,41.35999999999999,kWh
2019-05-24T00:00:00,Electricity,1000 Hakaniemen kauppahalli,56.629999999999995,kWh
2019-05-25T00:00:00,Electricity,1000 Hakaniemen kauppahalli,56.32,kWh
2019-05-26T00:00:00,Electricity,1000 Hakaniemen kauppahalli,18.82000000000001,kWh
2019-05-27T00:00:00,Electricity,1000 Hakaniemen kauppahalli,34.120000000000005,kWh
2019-05-28T00:00:00,Electricity,1000 Hakaniemen kauppahalli,53.81999999999998,kWh
2019-05-29T00:00:00,Electricity,1000 Hakaniemen kauppahalli,37.970000000000006,kWh
